Player,Set,Attack_n,Attack_k,Attack_e,Block_t,Block_k,ServeR_e,ServeR_p,ServeR_g,ServeR_ex,Serve_e,Serve_a,Serve_n
Jelle,1,0,0,0,0,0,0,0,0,0,0,0,0
Massi,1,5,2,1,2,1,0,0,0,0,0,0,0
Dusan,1,0,0,0,0,0,0,0,0,0,0,0,0
Max,1,6,5,0,0,0,0,0,3,3,0,0,1
Lian,1,6,2,1,0,0,0,0,0,0,1,1,3
Luca,1,0,0,0,0,0,0,0,0,0,0,0,0
Beni,1,3,1,1,2,1,0,1,0,0,1,0,4
Jesse,1,0,0,0,0,0,0,0,0,0,0,0,0
Tobi,1,0,0,0,0,0,0,0,2,1,1,2,5
Vincent,1,0,0,0,0,0,0,0,0,0,0,0,0
Marvin,1,0,0,0,2,0,0,0,0,0,1,1,2
Jelle,2,0,0,0,0,0,0,0,0,0,0,0,0
Massi,2,6,4,2,3,1,0,0,0,0,0,0,0
Dusan,2,0,0,0,0,0,0,0,0,0,0,0,0
Max,2,0,0,0,0,0,0,0,0,0,0,0,0
Lian,2,0,0,0,0,0,0,0,0,0,0,0,0
Luca,2,0,0,0,1,0,0,0,0,0,0,0,1
Beni,2,5,1,1,0,0,1,0,1,1,0,1,4
Jesse,2,3,0,0,0,0,1,3,5,0,0,0,2
Tobi,2,0,0,0,0,0,0,2,3,2,0,0,4
Vincent,2,6,2,0,4,0,0,0,0,0,0,0,3
Marvin,2,0,0,0,0,0,0,0,0,0,0,0,0
